"DOCUMENTCODE_CG","POLICYNUMBER","POLICYPERIOD","JOBID","PERIODSTART","PERIODEND","CREATETIME"
"QHOME150","4000489491",9501912,9089438,16-11-28 00:01:00.000000000,17-11-28 00:01:00.000000000,17-01-20 16:54:05.417000000
"QHOME150","4000342784",9565161,9147158,17-01-05 00:01:00.000000000,18-01-05 00:01:00.000000000,17-01-13 12:59:32.216000000
"QHOME150","4000439634",9806975,9366227,16-08-29 00:01:00.000000000,17-08-29 00:01:00.000000000,17-02-10 16:50:28.877000000
"QHOME150","4000095702",9821907,9377407,17-02-04 00:01:00.000000000,18-02-04 00:01:00.000000000,17-02-14 16:47:55.398000000
"QHOME150","4000029247",9807107,9363457,17-02-02 00:01:00.000000000,18-02-02 00:01:00.000000000,17-02-11 10:01:04.320000000
"QHOME150","4000340836",9624068,9199964,16-12-30 00:01:00.000000000,17-12-30 00:01:00.000000000,17-02-02 12:47:53.422000000
"QHOME150","4000399272",9704092,9273023,16-06-20 00:01:00.000000000,17-06-20 00:01:00.000000000,17-02-16 16:47:59.749000000
"QHOME150","4000244624",9740177,9304678,17-01-25 00:01:00.000000000,18-01-25 00:01:00.000000000,17-02-07 16:50:20.823000000
"QHOME150","4000339235",9650071,9223576,17-01-16 00:01:00.000000000,18-01-16 00:01:00.000000000,17-02-09 17:48:36.943000000
"QHOME150","4000347739",9884859,9434155,17-02-12 00:01:00.000000000,18-02-12 00:01:00.000000000,17-02-21 17:57:27.176000000
"QHOME150","4000500962",9650078,9223583,16-12-16 00:01:00.000000000,17-12-16 00:01:00.000000000,17-02-02 17:46:18.300000000
"QHOME150","4000192377",9874756,9424495,16-06-05 00:01:00.000000000,17-06-05 00:01:00.000000000,17-02-20 15:46:19.635000000
"QHOME150","4000505530",9764962,9326763,16-12-29 00:01:00.000000000,17-12-29 00:01:00.000000000,17-02-07 13:46:13.074000000
"QHOME150","4000503509",9839080,9393165,17-02-01 00:01:00.000000000,18-02-01 00:01:00.000000000,17-02-17 16:50:25.091000000
"QHOME150","4000349727",9796454,9354179,17-02-01 00:01:00.000000000,18-02-01 00:01:00.000000000,17-02-15 11:46:10.769000000
"QHOME150","4000503965",9724383,9291052,16-12-23 00:01:00.000000000,17-12-23 00:01:00.000000000,17-02-03 19:01:48.637000000
"QHOME150","4000349554",9807013,9363561,17-02-02 00:01:00.000000000,18-02-02 00:01:00.000000000,17-02-10 10:33:38.756000000
"QHOME150","4000346981",9740291,9304830,17-01-25 00:01:00.000000000,18-01-25 00:01:00.000000000,17-02-20 10:36:18.976000000
"QHOME150","4000352919",9958870,9501127,17-02-20 00:01:00.000000000,18-02-20 00:01:00.000000000,17-03-02 09:37:30.988000000
"QHOME150","4000434531",9913248,9459189,16-08-08 00:01:00.000000000,17-08-08 00:01:00.000000000,17-03-06 14:24:19.738000000
"QHOME150","4000230156",9824801,9377795,16-11-01 00:01:00.000000000,17-11-01 00:01:00.000000000,17-03-02 16:46:32.081000000
"QHOME150","4000450621",9839164,9393093,16-09-01 00:01:00.000000000,17-09-01 00:01:00.000000000,17-02-22 12:36:16.506000000
"QHOME150","4000506319",9897003,9445125,17-01-05 00:01:00.000000000,18-01-05 00:01:00.000000000,17-02-27 14:57:57.605000000
"QHOME150","4000384770",9815355,9371243,16-04-28 00:01:00.000000000,17-04-28 00:01:00.000000000,17-02-28 11:18:16.805000000
"QHOME150","1120034291",10032788,9567737,16-12-18 00:01:00.000000000,17-12-18 00:01:00.000000000,17-03-10 10:17:49.291000000
"QHOME150","4000250467",9913728,9459761,17-02-15 00:01:00.000000000,18-02-15 00:01:00.000000000,17-03-03 16:47:54.445000000
"QHOME150","4000025901",9867362,9417960,17-02-09 00:01:00.000000000,18-02-09 00:01:00.000000000,17-02-28 20:45:52.590000000
"QHOME150","4000166451",9816366,9371966,17-02-03 00:01:00.000000000,18-02-03 00:01:00.000000000,17-02-28 20:46:32.672000000
"QHOME150","1120036733",9945514,9489113,17-02-19 00:01:00.000000000,18-02-19 00:01:00.000000000,17-03-03 16:49:24.639000000
"QHOME150","4000028297",9786709,9345444,17-01-31 00:01:00.000000000,18-01-31 00:01:00.000000000,17-02-24 16:50:29.240000000
"QHOME150","4000352911",9959030,9501044,17-02-20 00:01:00.000000000,18-02-20 00:01:00.000000000,17-03-02 09:37:40.991000000
"QHOME150","4000272749",9859606,9411017,16-05-23 00:01:00.000000000,17-05-23 00:01:00.000000000,17-03-02 16:51:24.888000000
"QHOME150","4000247485",9845512,9398412,17-02-07 00:01:00.000000000,18-02-07 00:01:00.000000000,17-03-06 11:55:56.628000000
"QHOME150","4000315270",9955954,9498459,16-10-01 00:01:00.000000000,17-10-01 00:01:00.000000000,17-03-09 00:57:34.907000000
"QHOME150","4000346005",10026918,9562318,17-02-25 00:01:00.000000000,18-02-25 00:01:00.000000000,17-03-08 16:46:49.024000000
"QHOME150","4000513342",9964020,9500938,17-01-20 00:01:00.000000000,18-01-20 00:01:00.000000000,17-03-03 09:26:47.856000000
"QHOME150","4000380855",9815508,9371318,16-04-28 00:01:00.000000000,17-04-28 00:01:00.000000000,17-02-28 18:48:35.823000000
